length,layers_num,layers_type,units,g_filt,val_mae_og
15,1,LSTM,20,0.5,2.181910117467242
30,1,LSTM,20,0.5,2.1161557428226563
60,1,LSTM,20,0.5,2.241204233837432
30,1,LSTM,20,0.5,2.1113269929204646
30,2,LSTM,20,0.5,2.0529788474866297
30,2,LSTM,20,0.5,2.0318909178532287
30,2,LSTM,20,0.5,2.067198154540286
30,2,LSTM,40,0.5,2.0272234543788974
30,2,LSTM,80,0.5,2.047733104538703
30,2,LSTM,40,0.5,2.116407482202562
30,2,LSTM,40,0.75,1.4133899211684868
30,2,LSTM,40,1.0,1.408537103403183
30,2,LSTM,40,1.25,1.6063184786495692
