length,layers_num,layers_type,units,dropout,loss,mae,val_loss,val_mae,epochs
1,1,GRU,10,0,0.0041,0.0498,0.0043,0.0502,12
1,1,GRU,10,0.25,0.0543,0.1794,0.0169,0.1047,0
1,1,GRU,10,0.5,0.0249,0.1295,0.0252,0.1308,5
1,1,GRU,20,0,0.0041,0.0501,0.0043,0.0503,35
1,1,GRU,20,0.25,0.0168,0.0998,0.0168,0.1061,16
1,1,GRU,20,0.5,0.0561,0.1827,0.022,0.1224,0
1,1,GRU,40,0,0.0041,0.0502,0.0043,0.0502,33
1,1,GRU,40,0.25,0.041,0.1515,0.017,0.1055,0
1,1,GRU,40,0.5,0.0557,0.1808,0.0238,0.1248,0
1,1,GRU,80,0,0.0041,0.0502,0.0043,0.0503,27
1,1,GRU,80,0.25,0.0167,0.0997,0.0143,0.0973,12
1,1,GRU,80,0.5,0.0276,0.1362,0.0239,0.1267,1
1,1,GRU,160,0,0.0042,0.0502,0.0043,0.0502,13
1,1,GRU,160,0.25,0.0119,0.0821,0.016,0.1028,34
1,1,GRU,160,0.5,0.0266,0.133,0.0258,0.1298,3
1,1,LSTM,10,0,0.0041,0.05,0.0043,0.0504,66
1,1,LSTM,10,0.25,0.0127,0.0837,0.0178,0.1085,22
1,1,LSTM,10,0.5,0.0338,0.1441,0.0206,0.1169,1
1,1,LSTM,20,0,0.0041,0.05,0.0043,0.0504,97
1,1,LSTM,20,0.25,0.0801,0.2261,0.0163,0.1047,0
1,1,LSTM,20,0.5,0.0799,0.2248,0.0184,0.1111,0
1,1,LSTM,40,0,0.0041,0.0501,0.0043,0.0505,56
1,1,LSTM,40,0.25,0.0623,0.1902,0.0146,0.0997,0
1,1,LSTM,40,0.5,0.092,0.2394,0.0204,0.1162,0
1,1,LSTM,80,0,0.0041,0.0499,0.0043,0.0504,86
1,1,LSTM,80,0.25,0.0579,0.179,0.0164,0.1059,0
1,1,LSTM,80,0.5,0.0734,0.2078,0.0225,0.1222,0
1,1,LSTM,160,0,0.0042,0.051,0.0043,0.0505,27
1,1,LSTM,160,0.25,0.0186,0.1045,0.0164,0.1051,11
1,1,LSTM,160,0.5,0.054,0.1817,0.0231,0.1254,0
1,2,GRU,10,0,0.0041,0.0502,0.0043,0.0505,20
1,2,GRU,10,0.25,0.0123,0.0826,0.0144,0.1016,36
1,2,GRU,10,0.5,0.0704,0.2076,0.0217,0.1218,0
1,2,GRU,20,0,0.0041,0.0503,0.0043,0.0504,43
1,2,GRU,20,0.25,0.0125,0.0844,0.0162,0.1053,18
1,2,GRU,20,0.5,0.0471,0.172,0.0249,0.1308,0
1,2,GRU,40,0,0.0042,0.0511,0.0043,0.0504,16
1,2,GRU,40,0.25,0.0108,0.0766,0.0115,0.0883,38
1,2,GRU,40,0.5,0.0281,0.1372,0.0249,0.1288,3
1,2,GRU,80,0,0.0042,0.0511,0.0043,0.0503,21
1,2,GRU,80,0.25,0.011,0.0781,0.0136,0.0988,30
1,2,GRU,80,0.5,0.0254,0.1297,0.0249,0.129,4
1,2,GRU,160,0,0.0042,0.0508,0.0043,0.0503,19
1,2,GRU,160,0.25,0.0115,0.0773,0.0146,0.1025,44
1,2,GRU,160,0.5,0.0283,0.137,0.0244,0.1271,1
1,2,LSTM,10,0,0.0041,0.0502,0.0043,0.0503,82
1,2,LSTM,10,0.25,0.017,0.0989,0.0168,0.1055,26
1,2,LSTM,10,0.5,0.1079,0.2721,0.0251,0.1298,0
1,2,LSTM,20,0,0.0041,0.0503,0.0043,0.0503,86
1,2,LSTM,20,0.25,0.0119,0.0796,0.0126,0.0917,82
1,2,LSTM,20,0.5,0.0898,0.2393,0.0227,0.1248,0
1,2,LSTM,40,0,0.0041,0.0503,0.0043,0.0504,36
1,2,LSTM,40,0.25,0.0164,0.0986,0.0156,0.1019,14
1,2,LSTM,40,0.5,0.0705,0.2065,0.0242,0.1255,0
1,2,LSTM,80,0,0.0042,0.0508,0.0043,0.0503,38
