length,layers_num,layers_type,units,g_filt,loss,mae,val_loss,val_mae,val_mae_og,epochs
30,1,LSTM,20,1,0.1577,0.3141,0.1784,0.3282,0.642582536,105
30,1,LSTM,20,1.5,0.005,0.0555,0.006,0.0593,1.008415233,233
30,1,LSTM,20,2,0.0026,0.0382,0.0024,0.0327,1.237522995,121
30,1,LSTM,20,2.5,0.0019,0.0313,0.0011,0.0216,1.400232394,132
30,1,LSTM,40,1,0.1597,0.3207,0.1675,0.319,0.641082531,70
30,1,LSTM,40,1.5,0.0045,0.0526,0.0042,0.0512,1.008590071,166
30,1,LSTM,40,2,0.0023,0.0374,0.0025,0.0351,1.236008503,94
30,1,LSTM,40,2.5,0.0011,0.0252,0.0009,0.0207,1.403000902,104
30,1,LSTM,80,1,0.1754,0.3299,0.1701,0.3237,0.635010891,61
30,1,LSTM,80,1.5,0.0079,0.0699,0.0071,0.067,0.992109153,90
30,1,LSTM,80,2,0.0038,0.0471,0.0028,0.0386,1.23244188,82
30,1,LSTM,80,2.5,0.0009,0.023,0.0007,0.0189,1.403842592,111
30,2,LSTM,20,1,0.1629,0.3219,0.1717,0.3209,0.637415638,124
30,2,LSTM,20,1.5,0.0081,0.0697,0.0069,0.0577,1.015589754,144
30,2,LSTM,20,2,0.0054,0.0528,0.0036,0.0367,1.23793133,107
30,2,LSTM,20,2.5,0.0016,0.0315,0.0016,0.0203,1.404588682,165
30,2,LSTM,40,1,0.1697,0.3289,0.1801,0.3277,0.67930419,73
30,2,LSTM,40,1.5,0.0192,0.106,0.0147,0.0856,0.991360863,48
30,2,LSTM,40,2,0.0033,0.0389,0.0035,0.0296,1.246862649,84
30,2,LSTM,40,2.5,0.0072,0.0555,0.0025,0.031,1.403480164,77
30,2,LSTM,80,1,0.1796,0.3381,0.1711,0.3247,0.648689202,55
30,2,LSTM,80,1.5,0.0223,0.1102,0.0241,0.1074,1.000621806,27
30,2,LSTM,80,2,0.0069,0.0579,0.0043,0.0431,1.2364516,45
30,2,LSTM,80,2.5,0.0007,0.0198,0.0013,0.0205,1.405923376,134
90,1,LSTM,20,1,0.1569,0.3129,0.1718,0.3218,0.641135706,110
90,1,LSTM,20,1.5,0.0097,0.0754,0.0127,0.0831,1.006245044,115
90,1,LSTM,20,2,0.0023,0.0345,0.0026,0.034,1.258955773,115
90,1,LSTM,20,2.5,0.0023,0.0356,0.0022,0.0298,1.418128243,106
90,1,LSTM,40,1,0.1479,0.3083,0.1619,0.3142,0.656494998,96
90,1,LSTM,40,1.5,0.0129,0.088,0.0151,0.0933,0.990497857,67
90,1,LSTM,40,2,0.0052,0.0543,0.0061,0.0565,1.233881578,60
90,1,LSTM,40,2.5,0.0057,0.0578,0.0031,0.0359,1.41214421,81
90,1,LSTM,80,1,0.1601,0.3168,0.1653,0.3192,0.655674124,76
90,1,LSTM,80,1.5,0.0133,0.0899,0.0146,0.0935,0.982694926,58
90,1,LSTM,80,2,0.0036,0.0467,0.0043,0.0479,1.250710177,80
90,1,LSTM,80,2.5,0.0018,0.0317,0.0008,0.0196,1.42250006,99
90,2,LSTM,20,1,0.1775,0.3352,0.1757,0.3266,0.660373237,68
90,2,LSTM,20,1.5,0.0157,0.0944,0.0156,0.0896,1.006142227,61
90,2,LSTM,20,2,0.0133,0.0764,0.003,0.0339,1.262983119,114
90,2,LSTM,20,2.5,0.0017,0.0307,0.0026,0.0271,1.422360835,113
90,2,LSTM,40,1,0.1613,0.3234,0.1699,0.3199,0.678344519,82
90,2,LSTM,40,1.5,0.0205,0.1061,0.0075,0.064,1.025985011,103
90,2,LSTM,40,2,0.0054,0.0535,0.0025,0.0283,1.26859915,128
90,2,LSTM,40,2.5,0.0061,0.058,0.0046,0.0463,1.4125487,63
90,2,LSTM,80,1,0.1995,0.358,0.1726,0.3229,0.661153485,47
90,2,LSTM,80,1.5,0.0247,0.1137,0.0079,0.0634,1.025113603,78
90,2,LSTM,80,2,0.0028,0.04,0.0042,0.0371,1.261766345,75
90,2,LSTM,80,2.5,0.0074,0.0569,0.0016,0.0237,1.417232972,112
180,1,LSTM,20,1,0.1711,0.327,0.1845,0.3264,0.66077282,56
180,1,LSTM,20,1.5,0.0132,0.0864,0.0096,0.0768,1.004950107,87
180,1,LSTM,20,2,0.0036,0.0442,0.0018,0.032,1.254106304,103
180,1,LSTM,20,2.5,0.001,0.0223,0.0009,0.0205,1.409172958,163
180,1,LSTM,40,1,0.1697,0.3278,0.1646,0.3189,0.662828792,46
180,1,LSTM,40,1.5,0.0175,0.1004,0.0118,0.0865,1.009876901,50
180,1,LSTM,40,2,0.0069,0.0617,0.004,0.0491,1.243474925,55
180,1,LSTM,40,2.5,0.001,0.0239,0.0008,0.0218,1.409612719,105
180,1,LSTM,80,1,0.1659,0.3247,0.1622,0.3172,0.659638188,58
180,1,LSTM,80,1.5,0.0132,0.09,0.0096,0.0759,1.00735376,47
