datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,tzoffset
16/10/2014,1413414000,16.8,11.4,13.8,16.8,11.4,13.8,12,89.37,8.38,,8.33,,,,,3.1,216.1,1001.9,19.1,9.3,,,0,07:26:50,1413440810,18:05:47,1413479147,0.79,Rain,Clear conditions throughout the day with rain.,rain,"['03680099999', '03660099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
17/10/2014,1413500400,18,12.6,15.1,18,12.6,15.2,13.1,88.22,0.86,,8.33,,,,21.9,3.8,194.8,1008.7,19.1,11,,,0,07:28:34,1413527314,18:03:39,1413565419,0.83,Rain,Clear conditions throughout the day with rain.,rain,"['03680099999', '03660099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
18/10/2014,1413586800,18.5,15.6,17,18.5,15.6,17,14.6,85.57,0.92,,8.33,,,,30,4.1,199.9,1010.1,20,16.1,,,0,07:30:18,1413613818,18:01:31,1413651691,0.88,Rain,Partly cloudy throughout the day with rain.,rain,"['03680099999', '03660099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
19/10/2014,1413673200,18.3,13.8,16.1,18.3,13.8,16.1,12.7,81.05,5.44,,12.5,,,,35.2,4.9,231,1012.5,15.8,15.6,,,0,07:32:02,1413700322,17:59:25,1413737965,0.92,Rain,Clear conditions throughout the day with rain.,rain,"['03680099999', '03660099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
20/10/2014,1413759600,15.5,11.5,13.1,15.5,11.5,13.1,10,81.75,0.43,,8.33,,,,21.9,3.9,243.9,1015.3,18.4,17.6,,,0,07:33:46,1413786826,17:57:20,1413824240,0.95,Rain,Clear conditions throughout the day with rain.,rain,"['03680099999', '03660099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
21/10/2014,1413846000,13.5,7.3,11.1,13.5,6.3,10.8,6.5,74.28,1.94,,12.5,,,,44.9,7.4,270,1008,15.2,17.7,,,0,07:35:31,1413873331,17:55:15,1413910515,0.98,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"['03680099999', '03660099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
22/10/2014,1413932400,12.4,6.5,9.3,12.4,5.6,9.1,5,74.77,0.4,,8.33,,,,,3.7,275,1024,12,15.5,,,0,07:37:16,1413959836,17:53:12,1413996792,0.99,Rain,Clear conditions throughout the day with rain.,rain,"['03680099999', '03660099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
23/10/2014,1414018800,15.4,9.6,12.8,15.4,9.6,12.8,10,83.22,0.2,,4.17,,,,21.9,3.7,222,1019.5,23.6,15,,,0,07:39:01,1414046341,17:51:10,1414083070,1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['03680099999', '03660099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
24/10/2014,1414105200,15.9,11.1,14.2,15.9,11.1,14.2,12.5,89.99,1.81,,12.5,,,,,3,230.2,1014.4,22.5,15.6,,,0,07:40:46,1414132846,17:49:08,1414169348,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['03680099999', '03660099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
25/10/2014,1414191600,14.3,6,10.4,14.3,6,10.4,7.4,82.57,0.51,,8.33,,,,20.8,3.8,243.2,1018.1,16.6,20.4,,,0,07:42:32,1414219352,17:47:09,1414255629,0.01,Rain,Clear conditions throughout the day with rain clearing later.,rain,"['03680099999', '03660099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
26/10/2014,1414278000,14.2,10.7,12.4,14.2,10.7,12.4,7.9,74.28,0,,0,,,,,3.7,221.8,1020.9,23.4,25.7,,,0,06:44:18,1414305858,16:45:10,1414341910,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['03680099999', '03660099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
27/10/2014,1414368000,17.7,12.3,14.3,17.7,12.3,14.3,11.2,82.05,0,,0,,,,28.9,4.5,196.2,1019.5,11.6,19.1,,,0,06:46:04,1414392364,16:43:12,1414428192,0.07,Clear,Clear conditions throughout the day.,clear-day,"['03680099999', '03660099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,0
28/10/2014,1414454400,17.8,11.1,13.8,17.8,11.1,13.8,11.3,85.74,0.6,,12.5,,,,,3.5,181.7,1013.5,6.7,11.9,,,0,06:47:50,1414478870,16:41:16,1414514476,0.11,Rain,Clear conditions throughout the day with rain.,rain,"['03680099999', '03660099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,0
29/10/2014,1414540800,14.7,10.8,12.1,14.7,10.8,12.1,11.2,93.97,1.5,,12.5,,,,,2.3,136.4,1016.1,25.7,5.2,,,0,06:49:37,1414565377,16:39:22,1414600762,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['03680099999', '03660099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,0
30/10/2014,1414627200,16.9,12.1,14.6,16.9,12.1,14.6,13.5,92.92,0.5,,8.33,,,,,4.4,171.3,1018.1,21.1,3.2,,,0,06:51:24,1414651884,16:37:28,1414687048,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"['03680099999', '03660099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,0
31/10/2014,1414713600,21.4,12.6,15.8,21.4,12.6,15.8,12.4,82.12,0.4,,8.33,,,,,3.2,165,1016.8,8.3,9.7,,,0,06:53:11,1414738391,16:35:36,1414773336,0.27,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"['03680099999', '03660099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,0
